,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
107,117,215700,214900,2,14.83468,0.13,51.0,6.82,18610,0,20210805,6402,6400,1,0,21.0,22.35,0.0,0.0,0.0,82.0,0.0,1.0,6.0,11.0,241.0,248.0,19.0,22.0,0.0,1.0
108,117,220800,215800,3,20.90887,0.17,36.0,6.07,18610,0,20210805,6400,6501,9,3,21.0,22.25,0.0,0.0,0.0,80.0,0.0,1.0,6.0,11.0,233.0,252.0,18.0,23.0,1.0,1.0
109,117,221300,220900,4,23.53195,0.07,39.0,2.62,18610,0,20210805,6501,6500,3,2,20.0,21.35,0.0,0.0,0.0,83.0,0.0,1.0,8.0,13.0,225.0,250.0,13.0,23.0,1.0,1.0
110,118,212400,212000,1,2.62308,0.07,39.0,2.62,18603,0,20210805,6500,6501,0,2,21.0,22.4,0.0,0.0,0.0,78.0,0.0,0.0,6.0,16.0,247.0,254.0,14.0,24.0,1.0,0.0
111,118,213000,212500,2,8.69727,0.08,73.0,6.07,18603,0,20210805,6501,6400,2,2,21.0,22.75,0.0,0.0,0.0,77.0,0.0,0.0,5.0,13.0,244.0,254.0,18.0,23.0,1.0,1.0
112,118,213800,213100,3,15.51342,0.12,58.0,6.82,18603,0,20210805,6400,6402,3,2,21.0,22.35,0.0,0.0,0.0,82.0,0.0,1.0,6.0,11.0,241.0,248.0,19.0,22.0,1.0,1.0
113,118,214900,213900,4,23.53195,0.17,48.0,8.02,18603,0,20210805,6402,6404,2,0,20.0,21.55,0.0,0.0,0.0,89.0,0.0,1.0,7.0,12.0,241.0,241.0,15.0,22.0,0.0,1.0
114,120,155400,155000,1,2.62308,0.07,39.0,2.62,18583,0,20210805,6500,6501,1,1,25.0,24.05,0.0,0.0,0.0,59.0,0.0,3.0,21.0,30.0,251.0,250.0,50.0,28.0,1.0,1.0
115,120,160000,155500,2,8.69727,0.08,73.0,6.07,18583,0,20210805,6501,6400,2,1,25.0,24.200000000000003,0.0,0.0,0.0,61.0,0.0,3.0,20.0,28.0,250.0,250.0,52.0,27.0,1.0,1.0
116,120,160700,160100,3,15.51342,0.1,68.0,6.82,18583,0,20210805,6400,6402,3,1,24.0,23.950000000000003,0.1,0.0,0.0,68.0,0.1,27.0,19.0,27.0,248.0,250.0,49.0,27.0,1.0,1.0
117,120,161700,160800,4,23.53195,0.15,53.0,8.02,18583,0,20210805,6402,6404,1,0,24.0,23.55,0.2,0.0,0.0,72.0,0.2,51.0,20.0,28.0,248.0,248.0,44.0,26.0,0.0,1.0
